Source Name	Comment[ENA_SAMPLE]	Material Type	Characteristics[Organism]	Characteristics[DevelopmentalStage]	Characteristics[Culture]	Characteristics[CultureTemperature]	Unit[TemperatureUnit]	Characteristics[CultureTime]	Unit[TimeUnit]	Characteristics[Sex]	Characteristics[Strain]	Characteristics[BaermannTemperature]	Unit[TemperatureUnit]	Characteristics[Baermann_time&temp]	Unit[TimeUnit]	Characteristics[Wash]	Characteristics[AgaroseMigrationTemperature]	Unit[TemperatureUnit]	Characteristics[AgaroseMigrationTtime]	Unit[TimeUnit]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRATEGY]	Comment[LIBRARY_SELECTION]	Comment [ORIENTATION]	Comment [NOMINAL_LENGTH]	Comment[NOMINAL_SDEV]	Comment[quality_scoring_system]	Comment[quality_encoding]	Comment[ascii_offset]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Protocol REF	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Comment[SPOT_LENGTH]	Comment[READ_INDEX_1_BASE_COORD]	FactorValue[DevelopmentalStage]
PFL_L1_20111010	ERS152068	whole organism	Strongyloides stercoralis	Post free living first stage larvae	Incubated	20.5	degree celsius	72	hour	Female	PV001	29	degree celsius	2	hour	na	28.5	degree celsius	2	hour	P-MTAB-27183	P-MTAB-27184	P-MTAB-27185	PFL_L1_20111010	PAIRED	TRANSCRIPTOMIC	RNA-Seq	RANDOM PCR	5'-3'-5'-3	173	58.42	phred	ascii	!	P-MTAB-27186	Penn Genome Frontiers Institute	PFL_L1_20111010	high_throughput_sequencing	ERX122872	P-MTAB-27187	PFL_L1_20111010_1.fastq.gz	PFL_L1_20111010_1.fastq.gz	ERR146951	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR146/ERR146951/ERR146951_1.fastq.gz	100	101	Post free living first stage larvae                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
PFL_L1_20111017	ERS152065	whole organism	Strongyloides stercoralis	Post free living first stage larvae	Incubated	20.5	degree celsius	72	hour	Female	PV001	29	degree celsius	2	hour	na	29.5	degree celsius	2	hour	P-MTAB-27183	P-MTAB-27184	P-MTAB-27185	PFL_L1_20111017	PAIRED	TRANSCRIPTOMIC	RNA-Seq	RANDOM PCR	5'-3'-5'-3	177	62.29	phred	ascii	!	P-MTAB-27186	Penn Genome Frontiers Institute	PFL_L1_20111017	high_throughput_sequencing	ERX122869	P-MTAB-27187	PFL_L1_20111017_1.fastq.gz	PFL_L1_20111017_1.fastq.gz	ERR146952	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR146/ERR146952/ERR146952_1.fastq.gz	100	101	Post free living first stage larvae                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
L3i_20110803	ERS152079	whole organism	Strongyloides stercoralis	Young infectious third stage larvae	Incubated	21	degree celsius	8	day	Female	PV001	30	degree celsius	1	hour	na	28.5	degree celsius	2	hour	P-MTAB-27183	P-MTAB-27184	P-MTAB-27185	L3i_20110803	PAIRED	TRANSCRIPTOMIC	RNA-Seq	RANDOM PCR	5'-3'-5'-3	171	56.69	phred	ascii	!	P-MTAB-27186	Penn Genome Frontiers Institute	L3i_20110803	high_throughput_sequencing	ERX122883	P-MTAB-27187	L3i_20110803_1.fastq.gz	L3i_20110803_1.fastq.gz	ERR146947	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR146/ERR146947/ERR146947_1.fastq.gz	100	101	Young infectious third stage larvae                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
L3i_20110923	ERS152067	whole organism	Strongyloides stercoralis	Infectious third stage larvae	Incubated	25	degree celsius	7	day	Female	PV001	28	degree celsius	1	hour	Washed_in_deionized_water	29	degree celsius	1	hour	P-MTAB-27183	P-MTAB-27184	P-MTAB-27185	L3i_20110923	PAIRED	TRANSCRIPTOMIC	RNA-Seq	RANDOM PCR	5'-3'-5'-3	169	52.7	phred	ascii	!	P-MTAB-27186	Penn Genome Frontiers Institute	L3i_20110923	high_throughput_sequencing	ERX122871	P-MTAB-27187	L3i_20110923_1.fastq.gz	L3i_20110923_1.fastq.gz	ERR146948	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR146/ERR146948/ERR146948_1.fastq.gz	100	101	Infectious third stage larvae                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
L3i_20111104	ERS152076	whole organism	Strongyloides stercoralis	Infectious third stage larvae	Incubated	21	degree celsius	10	day	Female	PV001	27	degree celsius	1	hour	Washed_in_deionized_water	27.5	degree celsius	0.5	hour	P-MTAB-27183	P-MTAB-27184	P-MTAB-27185	L3i_20111104	PAIRED	TRANSCRIPTOMIC	RNA-Seq	RANDOM PCR	5'-3'-5'-3	171	52.3	phred	ascii	!	P-MTAB-27186	Penn Genome Frontiers Institute	L3i_20111104	high_throughput_sequencing	ERX122880	P-MTAB-27187	L3i_20111104_1.fastq.gz	L3i_20111104_1.fastq.gz	ERR146949	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR146/ERR146949/ERR146949_1.fastq.gz	100	101	Infectious third stage larvae                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
L3_plus_g1	ERS152078	whole organism	Strongyloides stercoralis	Tissue migrating third stage larvae	In vivo	na	degree celsius	3	day	Female	PV001	na	degree celsius	na	hour	Washed_several_times_in_DMEM+Gentamicin_at_37C	na	degree celsius	na	hour	P-MTAB-27183	P-MTAB-27184	P-MTAB-27185	L3_plus_g1	PAIRED	TRANSCRIPTOMIC	RNA-Seq	RANDOM PCR	5'-3'-5'-3	176	60.23	phred	ascii	!	P-MTAB-27186	Penn Genome Frontiers Institute	L3_plus_g1	high_throughput_sequencing	ERX122882	P-MTAB-27187	L3_plus_g1_1.fastq.gz	L3_plus_g1_1.fastq.gz	ERR146944	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR146/ERR146944/ERR146944 _1.fastq.gz	100	101	Tissue migrating third stage larvae                                                                                                                                                                                                                                                                                                                                                                                                                                                     
L3_plus_g2	ERS152075	whole organism	Strongyloides stercoralis	Tissue migrating third stage larvae	In vivo	na	degree celsius	3	day	Female	PV001	na	degree celsius	na	hour	Washed_several_times_in_DMEM+Gentamicin_at_37C	na	degree celsius	na	hour	P-MTAB-27183	P-MTAB-27184	P-MTAB-27185	L3_plus_g2	PAIRED	TRANSCRIPTOMIC	RNA-Seq	RANDOM PCR	5'-3'-5'-3	178	60.75	phred	ascii	!	P-MTAB-27186	Penn Genome Frontiers Institute	L3_plus_g2	high_throughput_sequencing	ERX122879	P-MTAB-27187	L3_plus_g2_1.fastq.gz	L3_plus_g2_1.fastq.gz	ERR146945	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR146/ERR146945/ERR146945_1.fastq.gz	100	101	Tissue migrating third stage larvae                                                                                                                                                                                                                                                                                                                                                                                                                                                      
L3_plus_g3	ERS152081	whole organism	Strongyloides stercoralis	Tissue migrating third stage larvae	In vivo	na	degree celsius	3	day	Female	PV001	na	degree celsius	na	hour	Washed_several_times_in_DMEM+Gentamicin_at_37C	na	degree celsius	na	hour	P-MTAB-27183	P-MTAB-27184	P-MTAB-27185	L3_plus_g3	PAIRED	TRANSCRIPTOMIC	RNA-Seq	RANDOM PCR	5'-3'-5'-3	170	52.17	phred	ascii	!	P-MTAB-27186	Penn Genome Frontiers Institute	L3_plus_g3	high_throughput_sequencing	ERX122885	P-MTAB-27187	L3_plus_g3_1.fastq.gz	L3_plus_g3_1.fastq.gz	ERR146946	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR146/ERR146946/ERR146946_1.fastq.gz	100	101	Tissue migrating third stage larvae                                                                                                                                                                                                                                                                                                                                                                                                                                                      
P_Female_g1	ERS152066	whole organism	Strongyloides stercoralis	Gravid parasitic females	In vivo	na	degree celsius	21	day	Female	PV001	na	degree celsius	na	hour	Picked_to_warmed_DMEM+Gentamicin	na	degree celsius	na	hour	P-MTAB-27183	P-MTAB-27184	P-MTAB-27185	P_Female_g1	PAIRED	TRANSCRIPTOMIC	RNA-Seq	RANDOM PCR	5'-3'-5'-3	172	57.72	phred	ascii	!	P-MTAB-27186	Penn Genome Frontiers Institute	P_Female_g1	high_throughput_sequencing	ERX122870	P-MTAB-27187	P_Female_g1_1.fastq.gz	P_Female_g1_1.fastq.gz	ERR146959	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR146/ERR146959/ERR146959_1.fastq.gz	100	101	Gravid parasitic females                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
P_Female_g2	ERS152074	whole organism	Strongyloides stercoralis	Gravid parasitic females	In vivo	na	degree celsius	21	day	Female	PV001	na	degree celsius	na	hour	Picked_to_warmed_DMEM+Gentamicin	na	degree celsius	na	hour	P-MTAB-27183	P-MTAB-27184	P-MTAB-27185	P_Female_g2	PAIRED	TRANSCRIPTOMIC	RNA-Seq	RANDOM PCR	5'-3'-5'-3	172	57.02	phred	ascii	!	P-MTAB-27186	Penn Genome Frontiers Institute	P_Female_g2	high_throughput_sequencing	ERX122878	P-MTAB-27187	P_Female_g2_1.fastq.gz	P_Female_g2_1.fastq.gz	ERR146960	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR146/ERR146960/ERR146960_1.fastq.gz	100	101	Gravid parasitic females                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
P_Female_g3	ERS152072	whole organism	Strongyloides stercoralis	Gravid parasitic females	In vivo	na	degree celsius	21	day	Female	PV001	na	degree celsius	na	hour	Picked_to_warmed_DMEM+Gentamicin	na	degree celsius	na	hour	P-MTAB-27183	P-MTAB-27184	P-MTAB-27185	P_Female_g3	PAIRED	TRANSCRIPTOMIC	RNA-Seq	RANDOM PCR	5'-3'-5'-3	175	58.94	phred	ascii	!	P-MTAB-27186	Penn Genome Frontiers Institute	P_Female_g3	high_throughput_sequencing	ERX122876	P-MTAB-27187	P_Female_g3_1.fastq.gz	P_Female_g3_1.fastq.gz	ERR146961	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR146/ERR146961/ERR146961_1.fastq.gz	100	101	Gravid parasitic females                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
PP_L1_20110927	ERS152077	whole organism	Strongyloides stercoralis	Post parasitic first stage larvae	Isolated from fresh canine feces	na	degree celsius	na	hour	Mixed sex	PV001	29	degree celsius	2	hour	na	25	degree celsius	2	hour	P-MTAB-27183	P-MTAB-27184	P-MTAB-27185	PP_L1_20110927	PAIRED	TRANSCRIPTOMIC	RNA-Seq	RANDOM PCR	5'-3'-5'-3	177	59.69	phred	ascii	!	P-MTAB-27186	Penn Genome Frontiers Institute	PP_L1_20110927	high_throughput_sequencing	ERX122881	P-MTAB-27187	PP_L1_20110927_2.fastq.gz	PP_L1_20110927_2.fastq.gz	ERR146953	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR146/ERR146953/ERR146953_2.fastq.gz	100	101	Post parasitic first stage larvae                                                                                                                                                                                                                                                                                                                                                                                                                                                      
PP_L1_20111013	ERS152071	whole organism	Strongyloides stercoralis	Post parasitic first stage larvae	Isolated from fresh canine feces	na	degree celsius	na	hour	Mixed sex	PV001	28	degree celsius	2	hour	na	28.8	degree celsius	2	hour	P-MTAB-27183	P-MTAB-27184	P-MTAB-27185	PP_L1_20111013	PAIRED	TRANSCRIPTOMIC	RNA-Seq	RANDOM PCR	5'-3'-5'-3	176	56.94	phred	ascii	!	P-MTAB-27186	Penn Genome Frontiers Institute	PP_L1_20111013	high_throughput_sequencing	ERX122875	P-MTAB-27187	PP_L1_20111013_2.fastq.gz	PP_L1_20111013_2.fastq.gz	ERR146954	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR146/ERR146954/ERR146954_2.fastq.gz	100	101	Post parasitic first stage larvae                                                                                                                                                                                                                                                                                                                                                                                                                                                    
PP_L1_20111017	ERS152085	whole organism	Strongyloides stercoralis	Post parasitic first stage larvae	Isolated from fresh canine feces	na	degree celsius	na	hour	Mixed sex	PV001	28	degree celsius	2	hour	na	28.5	degree celsius	2	hour	P-MTAB-27183	P-MTAB-27184	P-MTAB-27185	PP_L1_20111017	PAIRED	TRANSCRIPTOMIC	RNA-Seq	RANDOM PCR	5'-3'-5'-3	175	57.29	phred	ascii	!	P-MTAB-27186	Penn Genome Frontiers Institute	PP_L1_20111017	high_throughput_sequencing	ERX122889	P-MTAB-27187	PP_L1_20111017_2.fastq.gz	PP_L1_20111017_2.fastq.gz	ERR146955	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR146/ERR146955/ERR146955_2.fastq.gz	100	101	Post parasitic first stage larvae                                                                                                                                                                                                                                                                                                                                                                                                                                                    
PP_L3_20110929	ERS152082	whole organism	Strongyloides stercoralis	Post parasitic heterogonically developing ~third stage larvae	Incubated	21	degree celsius	24	hour	Female enriched	PV001	29	degree celsius	1	hour	na	25	degree celsius	2	hour	P-MTAB-27183	P-MTAB-27184	P-MTAB-27185	PP_L3_20110929	PAIRED	TRANSCRIPTOMIC	RNA-Seq	RANDOM PCR	5'-3'-5'-3	175	56.87	phred	ascii	!	P-MTAB-27186	Penn Genome Frontiers Institute	PP_L3_20110929	high_throughput_sequencing	ERX122886	P-MTAB-27187	PP_L3_20110929_2.fastq.gz	PP_L3_20110929_2.fastq.gz	ERR146956	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR146/ERR146956/ERR146956_2.fastq.gz	100	101	Post parasitic heterogonically developing ~third stage larvae                                                                                                                                                                                                                                                                                                                                                                                                               
PP_L3_20111003	ERS152069	whole organism	Strongyloides stercoralis	Post parasitic heterogonically developing ~third stage larvae	Incubated	21	degree celsius	24	hour	Female enriched	PV001	29.5	degree celsius	1	hour	na	29	degree celsius	1	hour	P-MTAB-27183	P-MTAB-27184	P-MTAB-27185	PP_L3_20111003	PAIRED	TRANSCRIPTOMIC	RNA-Seq	RANDOM PCR	5'-3'-5'-3	178	58.83	phred	ascii	!	P-MTAB-27186	Penn Genome Frontiers Institute	PP_L3_20111003	high_throughput_sequencing	ERX122873	P-MTAB-27187	PP_L3_20111003_2.fastq.gz	PP_L3_20111003_2.fastq.gz	ERR146957	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR146/ERR146957/ERR146957_2.fastq.gz	100	101	Post parasitic heterogonically developing ~third stage larvae                                                                                                                                                                                                                                                                                                                                                                                                             
PP_L3_20111012	ERS152083	whole organism	Strongyloides stercoralis	Post parasitic heterogonically developing ~third stage larvae	Incubated	20.6	degree celsius	24	hour	Female enriched	PV001	28	degree celsius	1	hour	na	27	degree celsius	1	hour	P-MTAB-27183	P-MTAB-27184	P-MTAB-27185	PP_L3_20111012	PAIRED	TRANSCRIPTOMIC	RNA-Seq	RANDOM PCR	5'-3'-5'-3	177	57.28	phred	ascii	!	P-MTAB-27186	Penn Genome Frontiers Institute	PP_L3_20111012	high_throughput_sequencing	ERX122887	P-MTAB-27187	PP_L3_20111012_2.fastq.gz	PP_L3_20111012_2.fastq.gz	ERR146958	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR146/ERR146958/ERR146958_2.fastq.gz	100	101	Post parasitic heterogonically developing ~third stage larvae                                                                                                                                                                                                                                                                                                                                                                                                             
FL_Female_20110928	ERS152080	whole organism	Strongyloides stercoralis	Young gravid females with 1-6 eggs per gonadal arm	Incubated	21	degree celsius	48	hour	Female	PV001	29	degree celsius	1	hour	na	29	degree celsius	1	hour	P-MTAB-27183	P-MTAB-27184	P-MTAB-27185	FL_Female_20110928	PAIRED	TRANSCRIPTOMIC	RNA-Seq	RANDOM PCR	5'-3'-5'-3	172	56.82	phred	ascii	!	P-MTAB-27186	Penn Genome Frontiers Institute	FL_Female_20110928	high_throughput_sequencing	ERX122884	P-MTAB-27187	FL_Female_20110928_2.fastq.gz	FL_Female_20110928_2.fastq.gz	ERR146941	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR146/ERR146941/ERR146941_2.fastq.gz	100	101	Young gravid females with 1-6 eggs per gonadal arm                                                                                                                                                                                                                                                                                                                                                                                                                          
FL_Female_20111012	ERS152073	whole organism	Strongyloides stercoralis	Young gravid females with 2-6 eggs per gonadal arm	Incubated	20.6	degree celsius	48	hour	Female	PV001	29	degree celsius	1	hour	na	27	degree celsius	1	hour	P-MTAB-27183	P-MTAB-27184	P-MTAB-27185	FL_Female_20111012	PAIRED	TRANSCRIPTOMIC	RNA-Seq	RANDOM PCR	5'-3'-5'-3	174	58.17	phred	ascii	!	P-MTAB-27186	Penn Genome Frontiers Institute	FL_Female_20111012	high_throughput_sequencing	ERX122877	P-MTAB-27187	FL_Female_20111012_2.fastq.gz	FL_Female_20111012_2.fastq.gz	ERR146942	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR146/ERR146942/ERR146942_2.fastq.gz	100	101	Young gravid females with 2-6 eggs per gonadal arm                                                                                                                                                                                                                                                                                                                                                                                                                        
FL_Female_20111013	ERS152084	whole organism	Strongyloides stercoralis	Young gravid females with 2-10 eggs per gonadal arm	Incubated	20.5	degree celsius	48	hour	Female	PV001	28	degree celsius	1	hour	na	29	degree celsius	1	hour	P-MTAB-27183	P-MTAB-27184	P-MTAB-27185	FL_Female_20111013	PAIRED	TRANSCRIPTOMIC	RNA-Seq	RANDOM PCR	5'-3'-5'-3	172	55.4	phred	ascii	!	P-MTAB-27186	Penn Genome Frontiers Institute	FL_Female_20111013	high_throughput_sequencing	ERX122888	P-MTAB-27187	FL_Female_20111013_2.fastq.gz	FL_Female_20111013_2.fastq.gz	ERR146943	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR146/ERR146943/ERR146943_2.fastq.gz	100	101	Young gravid females with 2-10 eggs per gonadal arm                                                                                                                                                                                                                                                                                                                                                                                                                       
