Module	Section	Sample Name	Source
FastQC	all_sections	DRR106351_2	/Volumes/Seagate Backup Plus Drive/Astra/S venezuelensis RNAseq/DRR106351_2_fastqc.zip
FastQC	all_sections	DRR029282_1	/Volumes/Seagate Backup Plus Drive/Astra/S venezuelensis RNAseq/DRR029282_1_fastqc.zip
FastQC	all_sections	DRR029282_2	/Volumes/Seagate Backup Plus Drive/Astra/S venezuelensis RNAseq/DRR029282_2_fastqc.zip
FastQC	all_sections	DRR029436_1	/Volumes/Seagate Backup Plus Drive/Astra/S venezuelensis RNAseq/DRR029436_1_fastqc.zip
FastQC	all_sections	DRR029436_2	/Volumes/Seagate Backup Plus Drive/Astra/S venezuelensis RNAseq/DRR029436_2_fastqc.zip
FastQC	all_sections	DRR029437_1	/Volumes/Seagate Backup Plus Drive/Astra/S venezuelensis RNAseq/DRR029437_1_fastqc.zip
FastQC	all_sections	DRR029437_2	/Volumes/Seagate Backup Plus Drive/Astra/S venezuelensis RNAseq/DRR029437_2_fastqc.zip
FastQC	all_sections	DRR029438_1	/Volumes/Seagate Backup Plus Drive/Astra/S venezuelensis RNAseq/DRR029438_1_fastqc.zip
FastQC	all_sections	DRR029444_2	/Volumes/Seagate Backup Plus Drive/Astra/S venezuelensis RNAseq/DRR029444_2_fastqc.zip
FastQC	all_sections	DRR029445_1	/Volumes/Seagate Backup Plus Drive/Astra/S venezuelensis RNAseq/DRR029445_1_fastqc.zip
FastQC	all_sections	DRR029445_2	/Volumes/Seagate Backup Plus Drive/Astra/S venezuelensis RNAseq/DRR029445_2_fastqc.zip
FastQC	all_sections	DRR106346_1	/Volumes/Seagate Backup Plus Drive/Astra/S venezuelensis RNAseq/DRR106346_1_fastqc.zip
FastQC	all_sections	DRR029438_2	/Volumes/Seagate Backup Plus Drive/Astra/S venezuelensis RNAseq/DRR029438_2_fastqc.zip
FastQC	all_sections	DRR029439_1	/Volumes/Seagate Backup Plus Drive/Astra/S venezuelensis RNAseq/DRR029439_1_fastqc.zip
FastQC	all_sections	DRR029439_2	/Volumes/Seagate Backup Plus Drive/Astra/S venezuelensis RNAseq/DRR029439_2_fastqc.zip
FastQC	all_sections	DRR029440_1	/Volumes/Seagate Backup Plus Drive/Astra/S venezuelensis RNAseq/DRR029440_1_fastqc.zip
FastQC	all_sections	DRR029440_2	/Volumes/Seagate Backup Plus Drive/Astra/S venezuelensis RNAseq/DRR029440_2_fastqc.zip
FastQC	all_sections	DRR106352_1	/Volumes/Seagate Backup Plus Drive/Astra/S venezuelensis RNAseq/DRR106352_1_fastqc.zip
FastQC	all_sections	DRR106352_2	/Volumes/Seagate Backup Plus Drive/Astra/S venezuelensis RNAseq/DRR106352_2_fastqc.zip
FastQC	all_sections	DRR106353_1	/Volumes/Seagate Backup Plus Drive/Astra/S venezuelensis RNAseq/DRR106353_1_fastqc.zip
FastQC	all_sections	DRR106353_2	/Volumes/Seagate Backup Plus Drive/Astra/S venezuelensis RNAseq/DRR106353_2_fastqc.zip
FastQC	all_sections	DRR106354_1	/Volumes/Seagate Backup Plus Drive/Astra/S venezuelensis RNAseq/DRR106354_1_fastqc.zip
FastQC	all_sections	DRR106346_2	/Volumes/Seagate Backup Plus Drive/Astra/S venezuelensis RNAseq/DRR106346_2_fastqc.zip
FastQC	all_sections	DRR106347_1	/Volumes/Seagate Backup Plus Drive/Astra/S venezuelensis RNAseq/DRR106347_1_fastqc.zip
FastQC	all_sections	DRR106347_2	/Volumes/Seagate Backup Plus Drive/Astra/S venezuelensis RNAseq/DRR106347_2_fastqc.zip
FastQC	all_sections	DRR106348_1	/Volumes/Seagate Backup Plus Drive/Astra/S venezuelensis RNAseq/DRR106348_1_fastqc.zip
FastQC	all_sections	DRR106348_2	/Volumes/Seagate Backup Plus Drive/Astra/S venezuelensis RNAseq/DRR106348_2_fastqc.zip
FastQC	all_sections	DRR106354_2	/Volumes/Seagate Backup Plus Drive/Astra/S venezuelensis RNAseq/DRR106354_2_fastqc.zip
FastQC	all_sections	DRR106355_1	/Volumes/Seagate Backup Plus Drive/Astra/S venezuelensis RNAseq/DRR106355_1_fastqc.zip
FastQC	all_sections	DRR106355_2	/Volumes/Seagate Backup Plus Drive/Astra/S venezuelensis RNAseq/DRR106355_2_fastqc.zip
FastQC	all_sections	DRR106356_1	/Volumes/Seagate Backup Plus Drive/Astra/S venezuelensis RNAseq/DRR106356_1_fastqc.zip
